Original Output,Original Confidence,Perturbed Output,Perturbed Confidence,Label
389,0.9154504,259,0.6400994,389
577,0.9322362,744,0.3649981,577
327,0.86044884,974,0.16682412,327
138,0.9732808,609,0.65126365,138
91,0.9358178,91,0.56961745,91
982,0.9730243,643,0.10857254,982
10,0.97297543,343,0.11120005,10
472,0.9774131,112,0.046079982,472
304,0.83534724,312,0.3889057,304
968,0.9663726,968,0.9623133,968
451,0.99904424,732,0.29386705,451
327,0.9756659,612,0.17421082,327
580,0.99888784,527,0.18143213,580
975,0.99584585,435,0.20740075,975
625,0.9847936,407,0.40709317,625
18,0.9722945,309,0.072302915,18
664,0.9354684,834,0.4219833,664
968,0.9276822,850,0.53353816,968
426,0.9240106,331,0.26186815,426
653,0.9543461,468,0.2956821,653
465,0.93525666,824,0.11626244,465
810,0.8261997,507,0.33625674,810
108,0.9746312,7,0.06793389,108
673,0.55725205,670,0.19451809,673
254,0.5702473,183,0.13263464,254
854,0.9608202,490,0.084776886,854
973,0.5404487,670,0.09437633,973
704,0.8592668,662,0.6978353,704
108,0.9356923,611,0.07859868,108
964,0.9426027,862,0.08579286,964
354,0.9287883,850,0.124252655,354
606,0.8611868,749,0.11158331,606
760,0.86267716,733,0.30351108,760
983,0.42076153,637,0.36041233,983
484,0.81842774,587,0.09447165,484
734,0.99651587,609,0.27365676,734
561,0.98979247,561,0.1608171,561
484,0.94695675,484,0.4169313,484
561,0.6463696,612,0.65482455,561
566,0.97391164,449,0.25063562,566
719,0.95877916,490,0.48273617,719
306,0.68408704,303,0.08146585,306
484,0.9472565,484,0.439086,484
973,0.44569343,281,0.18860179,973
771,0.9684921,70,0.094493926,771
571,0.980414,692,0.69422454,571
324,0.9548405,324,0.14195316,324
816,0.9764054,609,0.10481253,816
962,0.9966761,962,0.8349698,962
539,0.7563011,794,0.5281292,539
114,0.9943632,444,0.12311435,114
878,0.50751364,557,0.14732681,878
822,0.9474565,457,0.2854187,822
367,0.99625313,150,0.16679667,367
