Original Output,Original Confidence,Perturbed Output,Perturbed Confidence,Label
389,0.9154504,259,0.6990972,389
577,0.9322362,744,0.3676985,577
327,0.86044884,974,0.22629422,327
138,0.9732808,609,0.68011546,138
91,0.9358178,91,0.31359366,91
982,0.9730243,643,0.09221337,982
10,0.97297543,343,0.07857656,10
472,0.9774131,112,0.055700704,472
304,0.83534724,312,0.3115983,304
968,0.9663726,968,0.9520439,968
451,0.99904424,786,0.15173995,451
327,0.9756659,612,0.15910499,327
580,0.99888784,805,0.11659744,580
975,0.99584585,435,0.33259097,975
625,0.9847936,407,0.30245218,625
18,0.9722945,317,0.05139733,18
664,0.9354684,834,0.44736934,664
968,0.9276822,850,0.5714721,968
426,0.9240106,331,0.35019934,426
653,0.9543461,468,0.34377366,653
465,0.93525666,636,0.16853824,465
810,0.8261997,507,0.35806558,810
108,0.9746312,7,0.060513522,108
673,0.55725205,670,0.07584014,673
254,0.5702473,183,0.11980474,254
854,0.9608202,490,0.08734747,854
973,0.5404487,670,0.121048614,973
704,0.8592668,662,0.69371146,704
108,0.9356923,412,0.08955557,108
964,0.9426027,862,0.07662421,964
354,0.9287883,859,0.13267657,354
606,0.8611868,592,0.0982616,606
760,0.86267716,733,0.2827809,760
983,0.42076153,637,0.26137736,983
484,0.81842774,587,0.08753759,484
734,0.99651587,609,0.32405007,734
561,0.98979247,561,0.1229998,561
484,0.94695675,484,0.2559678,484
561,0.6463696,612,0.6372047,561
566,0.97391164,449,0.06793618,566
719,0.95877916,490,0.45800835,719
306,0.68408704,35,0.03413289,306
484,0.9472565,484,0.30669507,484
973,0.44569343,281,0.23166433,973
771,0.9684921,7,0.21983518,771
571,0.980414,692,0.6778615,571
324,0.9548405,37,0.07322772,324
816,0.9764054,609,0.2514451,816
962,0.9966761,962,0.74224865,962
539,0.7563011,794,0.6212134,539
114,0.9943632,444,0.21531677,114
878,0.50751364,557,0.16787834,878
822,0.9474565,457,0.30109462,822
367,0.99625313,150,0.14510407,367
763,0.58613485,612,0.30805114,763
753,0.90894765,616,0.4919628,753
760,0.9551128,760,0.32925946,760
744,0.59328043,609,0.07748016,744
894,0.13841715,742,0.15867151,894
50,0.9534035,51,0.61478114,50
23,0.67134935,392,0.34085616,23
826,0.9470836,742,0.22159928,826
462,0.15364887,421,0.09279514,477
459,0.9883111,412,0.3293146,459
471,0.9998865,478,0.22568776,471
98,0.7045383,429,0.30193377,98
815,0.98819643,778,0.5766401,815
583,0.92528534,566,0.93481433,583
581,0.9507373,97,0.05515792,581
799,0.4733762,742,0.13857977,620
876,0.9095277,429,0.20886837,876
610,0.72760195,437,0.15936369,610
422,0.8615604,476,0.06337657,422
514,0.79046094,559,0.5128158,514
615,0.5305377,843,0.13079402,776
702,0.99971825,7,0.051156655,702
923,0.9338562,412,0.49313563,923
469,0.89910793,612,0.7218401,469
95,0.8489005,6,0.05435427,95
979,0.73401284,435,0.6397181,979
142,0.8845876,78,0.10313558,142
228,0.8446691,845,0.11104798,228
566,0.30706584,778,0.2340845,566
556,0.95706886,556,0.6868382,556
966,0.84846514,788,0.16691445,966
991,0.5219847,851,0.10710579,991
859,0.80019224,854,0.37247103,859
518,0.9737578,647,0.038073502,518
815,0.9554382,564,0.07750234,815
761,0.5825841,447,0.121608965,761
778,0.9861253,474,0.48991123,778
985,0.89672214,612,0.10277086,985
855,0.7090082,599,0.7628875,855
932,0.8824644,481,0.13527928,932
608,0.97892463,738,0.06422651,608
870,0.9619102,698,0.30509764,870
657,0.39802316,655,0.27658123,657
898,0.98040366,823,0.06905004,898
960,0.52403957,428,0.195199,960
960,0.97418606,692,0.057378724,960
423,0.96350235,7,0.08037387,423
860,0.99963725,749,0.28838524,860
641,0.8981874,641,0.54046226,641
650,0.784763,778,0.230442,650
58,0.9860881,68,0.18043882,58
410,0.51950103,827,0.20455268,410
473,0.802047,473,0.8363363,473
431,0.68359524,414,0.08040973,431
422,0.624827,792,0.09683191,422
141,0.868998,609,0.08872472,141
499,0.88543665,621,0.05371035,499
566,0.9616614,493,0.41993403,566
405,0.8374344,834,0.20256643,405
582,0.9619447,582,0.516821,582
932,0.7689605,416,0.3044263,416
539,0.76398706,539,0.26100922,539
769,0.42403856,200,0.08721692,769
820,0.8162214,876,0.109418996,820
440,0.9963586,765,0.21822236,440
337,0.979532,281,0.2346609,337
51,0.97091776,609,0.33475855,51
304,0.90319026,304,0.2568814,304
34,0.9057095,7,0.06555057,34
709,0.9925524,595,0.102645144,709
476,0.9992866,476,0.9969739,476
442,0.83050394,164,0.048052628,442
309,0.9965065,110,0.26405105,309
991,0.9922788,974,0.33431616,991
512,0.9620843,437,0.3865384,512
645,0.95659465,421,0.052965704,645
342,0.9944332,342,0.614276,342
583,0.94808286,612,0.26849678,583
699,0.5157304,612,0.15077968,699
