Original Output,Original Confidence,Perturbed Output,Perturbed Confidence,Label
389,0.9154504,389,0.09384245,389
577,0.9322362,526,0.86305445,577
327,0.86044884,323,0.4574695,327
138,0.9732808,345,0.2794043,138
91,0.9358178,91,0.7398775,91
982,0.9730243,431,0.07094274,982
10,0.97297543,10,0.86420435,10
472,0.9774131,622,0.08389198,472
304,0.83534724,301,0.3305991,304
968,0.9663726,968,0.8972448,968
451,0.99904424,794,0.61292416,451
327,0.9756659,953,0.08750247,327
580,0.99888784,533,0.20698151,580
975,0.99584585,802,0.12380553,975
625,0.9847936,455,0.61259025,625
18,0.9722945,18,0.6620985,18
664,0.9354684,498,0.63553476,664
968,0.9276822,850,0.35225177,968
426,0.9240106,426,0.77044433,426
653,0.9543461,734,0.055117317,653
465,0.93525666,817,0.38577744,465
810,0.8261997,810,0.49714306,810
108,0.9746312,108,0.8578594,108
673,0.55725205,560,0.3665772,673
254,0.5702473,174,0.16651665,254
854,0.9608202,854,0.13885358,854
973,0.5404487,650,0.27334008,973
704,0.8592668,707,0.2068822,704
108,0.9356923,152,0.038199823,108
964,0.9426027,942,0.31377798,964
354,0.9287883,353,0.61584854,354
606,0.8611868,614,0.11237042,606
760,0.86267716,733,0.2195997,760
983,0.42076153,637,0.7059868,983
484,0.81842774,501,0.31722218,484
734,0.99651587,725,0.061884854,734
561,0.98979247,561,0.043835178,561
484,0.94695675,484,0.23154017,484
561,0.6463696,684,0.40937376,561
566,0.97391164,535,0.26994348,566
719,0.95877916,719,0.4071217,719
306,0.68408704,303,0.9143765,306
484,0.9472565,874,0.69704425,484
973,0.44569343,63,0.48293772,973
771,0.9684921,631,0.17945284,771
571,0.980414,692,0.6480133,571
324,0.9548405,324,0.8887556,324
816,0.9764054,787,0.884933,816
962,0.9966761,416,0.072290204,962
539,0.7563011,641,0.46916258,539
114,0.9943632,118,0.59819996,114
878,0.50751364,905,0.2985833,878
822,0.9474565,753,0.34930733,822
367,0.99625313,102,0.37194303,367
763,0.58613485,780,0.8468476,763
753,0.90894765,891,0.5398514,753
760,0.9551128,705,0.1474284,760
744,0.59328043,440,0.5476489,744
894,0.13841715,841,0.1765597,894
50,0.9534035,51,0.6632977,50
23,0.67134935,25,0.23121801,23
826,0.9470836,493,0.44268346,826
462,0.15364887,690,0.11904119,477
459,0.9883111,509,0.90534604,459
471,0.9998865,471,0.5896614,471
98,0.7045383,8,0.78599614,98
815,0.98819643,815,0.16283537,815
583,0.92528534,763,0.0665494,583
581,0.9507373,691,0.25689685,581
799,0.4733762,799,0.5417755,620
876,0.9095277,972,0.3734901,876
610,0.72760195,437,0.5885485,610
422,0.8615604,905,0.15395391,422
514,0.79046094,559,0.72266537,514
615,0.5305377,615,0.30650535,776
702,0.99971825,702,0.91650367,702
923,0.9338562,923,0.14104499,923
469,0.89910793,752,0.89252275,469
95,0.8489005,96,0.94168067,95
979,0.73401284,978,0.3123715,979
142,0.8845876,136,0.8008513,142
228,0.8446691,165,0.9917516,228
566,0.30706584,756,0.07925704,566
556,0.95706886,556,0.43304956,556
966,0.84846514,114,0.34580192,966
991,0.5219847,989,0.04486832,991
859,0.80019224,449,0.8840527,859
518,0.9737578,537,0.2255191,518
815,0.9554382,815,0.58588743,815
761,0.5825841,761,0.20076893,761
778,0.9861253,598,0.103081696,778
985,0.89672214,490,0.06634431,985
855,0.7090082,493,0.40138847,855
932,0.8824644,930,0.2619924,932
608,0.97892463,608,0.11120604,608
870,0.9619102,870,0.7604025,870
657,0.39802316,408,0.8309948,657
898,0.98040366,466,0.13039985,898
960,0.52403957,869,0.17664948,960
960,0.97418606,960,0.44035736,960
