Original Output,Original Confidence,Perturbed Output,Perturbed Confidence,Label
389,0.9154504,388,0.076266505,389
577,0.9322362,526,0.9534947,577
327,0.86044884,323,0.60065943,327
138,0.9732808,345,0.19663131,138
91,0.9358178,91,0.66325474,91
982,0.9730243,431,0.096734636,982
10,0.97297543,10,0.869774,10
472,0.9774131,457,0.061763193,472
304,0.83534724,301,0.5125499,304
968,0.9663726,968,0.7566088,968
451,0.99904424,794,0.37127525,451
327,0.9756659,953,0.2384658,327
580,0.99888784,527,0.38682005,580
975,0.99584585,7,0.18314567,975
625,0.9847936,455,0.62224513,625
18,0.9722945,18,0.7909566,18
664,0.9354684,498,0.4500022,664
968,0.9276822,850,0.28157353,968
426,0.9240106,426,0.6784482,426
653,0.9543461,734,0.12235437,653
465,0.93525666,817,0.6366165,465
810,0.8261997,926,0.47461638,810
108,0.9746312,108,0.8695082,108
673,0.55725205,560,0.33122876,673
254,0.5702473,174,0.118165575,254
854,0.9608202,854,0.1359067,854
973,0.5404487,501,0.23878367,973
704,0.8592668,424,0.22447488,704
108,0.9356923,34,0.12681802,108
964,0.9426027,942,0.83680326,964
354,0.9287883,353,0.8240032,354
606,0.8611868,592,0.21776214,606
760,0.86267716,733,0.11026295,760
983,0.42076153,637,0.698479,983
484,0.81842774,501,0.41464236,484
734,0.99651587,558,0.10217024,734
561,0.98979247,616,0.14263198,561
484,0.94695675,699,0.24679792,484
561,0.6463696,876,0.327425,561
566,0.97391164,535,0.5416422,566
719,0.95877916,719,0.32991695,719
306,0.68408704,303,0.9712147,306
484,0.9472565,874,0.8364151,484
973,0.44569343,51,0.376659,973
771,0.9684921,775,0.123996735,771
571,0.980414,692,0.81651413,571
324,0.9548405,324,0.8189558,324
816,0.9764054,787,0.8444984,816
962,0.9966761,118,0.06803826,962
539,0.7563011,641,0.33991352,539
114,0.9943632,118,0.0824081,114
878,0.50751364,773,0.11125579,878
822,0.9474565,753,0.18147308,822
367,0.99625313,102,0.26538756,367
763,0.58613485,780,0.7834151,763
753,0.90894765,891,0.4635447,753
760,0.9551128,705,0.29207706,760
744,0.59328043,440,0.79704857,744
894,0.13841715,841,0.39447182,894
50,0.9534035,51,0.62068516,50
23,0.67134935,25,0.33076358,23
826,0.9470836,493,0.3687949,826
462,0.15364887,690,0.47599086,477
459,0.9883111,509,0.74785346,459
471,0.9998865,471,0.6481686,471
98,0.7045383,8,0.79369366,98
815,0.98819643,815,0.53997684,815
583,0.92528534,763,0.04728746,583
581,0.9507373,691,0.62805897,581
799,0.4733762,799,0.6466422,620
876,0.9095277,972,0.41098508,876
610,0.72760195,657,0.7372046,610
422,0.8615604,546,0.21069652,422
514,0.79046094,559,0.579986,514
615,0.5305377,615,0.42877337,776
702,0.99971825,702,0.9799677,702
923,0.9338562,923,0.17071688,923
469,0.89910793,752,0.8733872,469
95,0.8489005,96,0.9638768,95
979,0.73401284,978,0.92791146,979
142,0.8845876,136,0.85044706,142
228,0.8446691,165,0.99434054,228
566,0.30706584,881,0.07819571,566
556,0.95706886,556,0.34208703,556
966,0.84846514,924,0.25889763,966
991,0.5219847,114,0.042393092,991
859,0.80019224,449,0.99133307,859
518,0.9737578,558,0.1395673,518
815,0.9554382,815,0.50760925,815
761,0.5825841,800,0.23222461,761
778,0.9861253,606,0.106599934,778
985,0.89672214,490,0.061707005,985
855,0.7090082,743,0.21745314,855
932,0.8824644,930,0.20197721,932
608,0.97892463,608,0.10601641,608
870,0.9619102,870,0.39225045,870
657,0.39802316,408,0.9483349,657
898,0.98040366,571,0.16436048,898
960,0.52403957,869,0.05499673,960
960,0.97418606,960,0.6306875,960
