Original Output,Original Confidence,Perturbed Output,Perturbed Confidence,Label
389,0.9154504,389,0.53062594,389
577,0.9322362,526,0.8327651,577
327,0.86044884,329,0.33185336,327
138,0.9732808,51,0.2396565,138
91,0.9358178,91,0.85958725,91
982,0.9730243,431,0.13177055,982
10,0.97297543,341,0.17804882,10
472,0.9774131,670,0.30120564,472
304,0.83534724,305,0.53793186,304
968,0.9663726,968,0.96733797,968
451,0.99904424,794,0.05988312,451
327,0.9756659,48,0.13404997,327
580,0.99888784,533,0.15443318,580
975,0.99584585,670,0.059607696,975
625,0.9847936,455,0.30903283,625
18,0.9722945,18,0.2533138,18
664,0.9354684,498,0.24036357,664
968,0.9276822,850,0.5928436,968
426,0.9240106,426,0.3071515,426
653,0.9543461,460,0.067577094,653
465,0.93525666,817,0.21578597,465
810,0.8261997,810,0.5822715,810
108,0.9746312,108,0.17401204,108
673,0.55725205,524,0.20958617,673
254,0.5702473,174,0.08049799,254
854,0.9608202,841,0.14783321,854
973,0.5404487,650,0.4001935,973
704,0.8592668,662,0.23911475,704
108,0.9356923,611,0.03964846,108
964,0.9426027,62,0.10467118,964
354,0.9287883,353,0.6112371,354
606,0.8611868,614,0.2662578,606
760,0.86267716,733,0.35492706,760
983,0.42076153,637,0.72628945,983
484,0.81842774,587,0.09033758,484
734,0.99651587,734,0.06812761,734
561,0.98979247,561,0.35446092,561
484,0.94695675,484,0.67671674,484
561,0.6463696,612,0.7498516,561
566,0.97391164,449,0.9718929,566
719,0.95877916,719,0.61323744,719
306,0.68408704,303,0.86852986,306
484,0.9472565,874,0.25899822,484
973,0.44569343,826,0.27208558,973
771,0.9684921,631,0.581446,771
571,0.980414,692,0.70787543,571
324,0.9548405,324,0.92735547,324
816,0.9764054,787,0.32893696,816
962,0.9966761,869,0.2515021,962
539,0.7563011,641,0.24204522,539
114,0.9943632,118,0.89583385,114
878,0.50751364,557,0.074735194,878
822,0.9474565,753,0.36979178,822
367,0.99625313,297,0.21717505,367
763,0.58613485,780,0.96899927,763
753,0.90894765,891,0.35713813,753
760,0.9551128,705,0.53817725,760
744,0.59328043,789,0.13380602,744
894,0.13841715,609,0.14947428,894
50,0.9534035,51,0.649009,50
23,0.67134935,317,0.0604305,23
826,0.9470836,493,0.16028756,826
462,0.15364887,565,0.102679834,477
459,0.9883111,509,0.79451406,459
471,0.9998865,471,0.24939519,471
98,0.7045383,8,0.2341139,98
815,0.98819643,778,0.548238,815
583,0.92528534,566,0.5211655,583
581,0.9507373,822,0.10333329,581
799,0.4733762,612,0.44790322,620
876,0.9095277,876,0.20479915,876
610,0.72760195,437,0.875333,610
422,0.8615604,905,0.13599142,422
514,0.79046094,559,0.7444365,514
615,0.5305377,653,0.16796374,776
702,0.99971825,747,0.12536748,702
923,0.9338562,435,0.27133578,923
469,0.89910793,752,0.7029253,469
95,0.8489005,96,0.6829905,95
979,0.73401284,979,0.07511714,979
142,0.8845876,136,0.6874621,142
228,0.8446691,165,0.82258564,228
566,0.30706584,550,0.12908632,566
556,0.95706886,556,0.6985419,556
966,0.84846514,114,0.20050608,966
991,0.5219847,114,0.34523973,991
859,0.80019224,854,0.6125808,859
518,0.9737578,725,0.44638613,518
815,0.9554382,607,0.23134057,815
761,0.5825841,550,0.2215278,761
