Original Output,Original Confidence,Perturbed Output,Perturbed Confidence,Label
389,0.9154504,388,0.13643225,389
577,0.9322362,526,0.7910467,577
327,0.86044884,323,0.6555462,327
138,0.9732808,361,0.19782327,138
91,0.9358178,91,0.5905894,91
982,0.9730243,769,0.13149424,982
10,0.97297543,10,0.72987586,10
472,0.9774131,457,0.07701034,472
304,0.83534724,303,0.35810795,304
968,0.9663726,968,0.47400358,968
451,0.99904424,473,0.20646052,451
327,0.9756659,990,0.22084738,327
580,0.99888784,527,0.6961768,580
975,0.99584585,34,0.3516986,975
625,0.9847936,455,0.61189586,625
18,0.9722945,18,0.84236735,18
664,0.9354684,498,0.3706792,664
968,0.9276822,969,0.25608405,968
426,0.9240106,426,0.6526997,426
653,0.9543461,558,0.69476706,653
465,0.93525666,422,0.078655,465
810,0.8261997,926,0.5536236,810
108,0.9746312,108,0.5665643,108
673,0.55725205,560,0.31992263,673
254,0.5702473,174,0.11878208,254
854,0.9608202,854,0.34286663,854
973,0.5404487,501,0.22286497,973
704,0.8592668,424,0.11948967,704
108,0.9356923,3,0.17568797,108
964,0.9426027,942,0.90453327,964
354,0.9287883,353,0.77100646,354
606,0.8611868,762,0.202564,606
760,0.86267716,760,0.109583475,760
983,0.42076153,637,0.6169716,983
484,0.81842774,501,0.22434011,484
734,0.99651587,734,0.12489247,734
561,0.98979247,616,0.06437918,561
484,0.94695675,484,0.46252796,484
561,0.6463696,876,0.24592979,561
566,0.97391164,695,0.08044392,566
719,0.95877916,719,0.45005685,719
306,0.68408704,303,0.9843427,306
484,0.9472565,874,0.743615,484
973,0.44569343,51,0.5613475,973
771,0.9684921,775,0.31963047,771
571,0.980414,692,0.5957968,571
324,0.9548405,324,0.8031083,324
816,0.9764054,756,0.09329767,816
962,0.9966761,416,0.05089465,962
539,0.7563011,641,0.2281087,539
114,0.9943632,114,0.5026008,114
878,0.50751364,413,0.15315467,878
822,0.9474565,822,0.43400857,822
367,0.99625313,102,0.17359146,367
763,0.58613485,780,0.1796405,763
753,0.90894765,616,0.3526925,753
760,0.9551128,705,0.2652307,760
744,0.59328043,440,0.77701604,744
894,0.13841715,841,0.12928908,894
50,0.9534035,50,0.35683575,50
23,0.67134935,22,0.4727441,23
826,0.9470836,709,0.40551543,826
462,0.15364887,690,0.2633015,477
459,0.9883111,509,0.6893415,459
471,0.9998865,471,0.7229429,471
98,0.7045383,8,0.5723822,98
815,0.98819643,815,0.852956,815
583,0.92528534,763,0.05257354,583
581,0.9507373,429,0.8300706,581
799,0.4733762,799,0.66319495,620
876,0.9095277,972,0.3538081,876
610,0.72760195,657,0.7594584,610
422,0.8615604,860,0.21660489,422
514,0.79046094,559,0.44586378,514
615,0.5305377,615,0.8690782,776
702,0.99971825,702,0.93035644,702
923,0.9338562,923,0.26711348,923
469,0.89910793,752,0.77955836,469
95,0.8489005,96,0.9147976,95
979,0.73401284,978,0.90368783,979
142,0.8845876,136,0.67779547,142
228,0.8446691,165,0.9964988,228
566,0.30706584,920,0.12327339,566
556,0.95706886,556,0.44066563,556
966,0.84846514,924,0.46811894,966
991,0.5219847,114,0.48780984,991
859,0.80019224,449,0.9553045,859
518,0.9737578,558,0.35877275,518
815,0.9554382,815,0.7000108,815
761,0.5825841,800,0.39783442,761
778,0.9861253,606,0.06942537,778
985,0.89672214,913,0.1312496,985
855,0.7090082,743,0.3278635,855
932,0.8824644,930,0.780697,932
608,0.97892463,608,0.2407987,608
870,0.9619102,870,0.3954769,870
657,0.39802316,408,0.94431096,657
898,0.98040366,831,0.08139014,898
960,0.52403957,924,0.081693165,960
960,0.97418606,960,0.70407826,960
423,0.96350235,544,0.7011498,423
860,0.99963725,633,0.052725296,860
641,0.8981874,641,0.6163999,641
650,0.784763,978,0.33175474,650
58,0.9860881,58,0.1731284,58
410,0.51950103,827,0.32443362,410
473,0.802047,694,0.78212297,473
431,0.68359524,616,0.4305093,431
422,0.624827,840,0.5310271,422
141,0.868998,140,0.595908,141
499,0.88543665,433,0.42525834,499
566,0.9616614,566,0.15996815,566
405,0.8374344,909,0.5960557,405
582,0.9619447,582,0.54523975,582
932,0.7689605,932,0.9981408,416
539,0.76398706,407,0.7300674,539
769,0.42403856,445,0.15452018,769
820,0.8162214,547,0.47900414,820
440,0.9963586,876,0.58516586,440
337,0.979532,270,0.31003687,337
51,0.97091776,50,0.9320946,51
304,0.90319026,303,0.3057749,304
34,0.9057095,37,0.7082112,34
709,0.9925524,808,0.2276197,709
476,0.9992866,837,0.6743035,476
442,0.83050394,738,0.08920366,442
309,0.9965065,309,0.7570425,309
991,0.9922788,991,0.80432385,991
512,0.9620843,437,0.8240975,512
645,0.95659465,645,0.4729949,645
342,0.9944332,342,0.29564458,342
583,0.94808286,583,0.11642024,583
699,0.5157304,653,0.8471997,699
920,0.9963175,922,0.06964656,920
975,0.9873095,526,0.057003144,975
311,0.41589573,306,0.87849516,311
882,0.981423,450,0.20199674,882
898,0.9526279,898,0.6101053,898
974,0.7296604,126,0.17697975,974
481,0.96296746,481,0.61734897,481
310,0.96234465,310,0.26326093,310
787,0.46719393,787,0.9839572,620
115,0.96638286,116,0.10319997,115
476,0.8926941,898,0.5852721,476
972,0.9999809,972,0.81333464,972
479,0.95924765,812,0.057333466,479
708,0.928371,529,0.98890835,708
874,0.9765278,874,0.46686324,874
545,0.8221401,122,0.25663808,545
437,0.996232,512,0.5205188,437
854,0.99152774,800,0.08540883,854
480,0.8107347,519,0.4275415,480
913,0.8965484,731,0.26840726,913
880,0.9280024,418,0.57361966,880
308,0.8058765,305,0.759672,308
471,0.99967754,126,0.721084,471
