Original Output,Original Confidence,Perturbed Output,Perturbed Confidence,Label
389,0.9154504,389,0.75571495,389
577,0.9322362,526,0.30330718,577
327,0.86044884,329,0.21356703,327
138,0.9732808,51,0.26096484,138
91,0.9358178,91,0.91466165,91
982,0.9730243,431,0.08604055,982
10,0.97297543,343,0.10530025,10
472,0.9774131,670,0.16867538,472
304,0.83534724,305,0.38210902,304
968,0.9663726,968,0.9662762,968
451,0.99904424,451,0.07864511,451
327,0.9756659,449,0.061656408,327
580,0.99888784,533,0.20657979,580
975,0.99584585,592,0.14037167,975
625,0.9847936,407,0.26537156,625
18,0.9722945,15,0.24494386,18
664,0.9354684,484,0.30183545,664
968,0.9276822,850,0.6893832,968
426,0.9240106,916,0.6622151,426
653,0.9543461,732,0.084474154,653
465,0.93525666,423,0.11726559,465
810,0.8261997,810,0.23431613,810
108,0.9746312,34,0.16204804,108
673,0.55725205,797,0.09278111,673
254,0.5702473,189,0.21379417,254
854,0.9608202,841,0.096017286,854
973,0.5404487,650,0.058629226,973
704,0.8592668,662,0.35698774,704
108,0.9356923,611,0.084831476,108
964,0.9426027,117,0.04083395,964
354,0.9287883,354,0.49706063,354
606,0.8611868,614,0.2708235,606
760,0.86267716,733,0.41171688,760
983,0.42076153,637,0.6908999,983
484,0.81842774,587,0.07207162,484
734,0.99651587,734,0.10163015,734
561,0.98979247,561,0.53938216,561
484,0.94695675,484,0.77251154,484
561,0.6463696,612,0.9146283,561
566,0.97391164,449,0.960687,566
719,0.95877916,719,0.7042021,719
306,0.68408704,303,0.72342485,306
484,0.9472565,484,0.5412928,484
973,0.44569343,826,0.11181653,973
771,0.9684921,631,0.6108745,771
571,0.980414,692,0.65099156,571
324,0.9548405,324,0.8811785,324
816,0.9764054,742,0.12494145,816
962,0.9966761,962,0.49160448,962
539,0.7563011,578,0.21913786,539
114,0.9943632,118,0.7572187,114
878,0.50751364,599,0.075932,878
822,0.9474565,753,0.24511082,822
367,0.99625313,150,0.21354409,367
763,0.58613485,780,0.9534871,763
753,0.90894765,616,0.38637054,753
760,0.9551128,705,0.5161747,760
744,0.59328043,789,0.13058172,744
894,0.13841715,751,0.16782758,894
50,0.9534035,51,0.5215529,50
23,0.67134935,390,0.15534228,23
826,0.9470836,751,0.22975783,826
462,0.15364887,656,0.06190832,477
459,0.9883111,509,0.29152286,459
471,0.9998865,471,0.16833484,471
98,0.7045383,84,0.15485193,98
815,0.98819643,778,0.6866473,815
583,0.92528534,566,0.88360953,583
